,user_score,meta_score,title,console,release_date
421,8.8,79,Space Channel 5 Special Edition,PS2,2003
422,8.8,85,Astro Boy: Omega Factor,GBA,2004
423,8.8,79,Sphinx and the Cursed Mummy,GC,2003
424,8.8,83,RACE 07: Official WTCC Game,PC,2007
425,8.8,94,Metal Gear Solid 4: Guns of the Patriots,PS3,2008
426,8.8,76,Dance Dance Revolution Extreme 2,PS2,2005
427,8.8,83,Harvest Moon: Magical Melody,GC,2006
428,8.8,95,Grand Theft Auto: Vice City,PS2,2002
429,8.8,89,NHL 2002,XBOX,2001
430,8.8,85,Clive Barker's Undying,PC,2001
431,8.8,79,OutRun2,XBOX,2004
432,8.8,94,Grand Theft Auto: Vice City,PC,2003
433,8.8,87,Europa Universalis II,PC,2001
434,8.8,63,Seek and Destroy,PS2,2002
435,8.8,87,Metropolis Street Racer,DC,2001
436,8.8,74,Destroy All Humans! 2,PS2,2006
437,8.8,74,Dai Senryaku VII: Modern Military Tactics,XBOX,2005
438,8.8,87,Kohan: Immortal Sovereigns,PC,2001
439,8.8,87,Shogun: Total War Warlord Edition,PC,2001
440,8.8,87,Commandos 2: Men of Courage,PC,2001
441,8.8,85,Operation Flashpoint: Cold War Crisis,PC,2001
442,8.8,77,Tom Clancy's Splinter Cell,GBA,2003
443,8.8,84,Tony Hawk's Pro Skater 2,N64,2001
444,8.8,83,Silent Storm,PC,2004
445,8.8,93,Company of Heroes,PC,2006
446,8.8,86,Fight Night Round 3,X360,2006
447,8.8,85,Midnight Club 3: DUB Edition Remix,PS2,2006
448,8.8,78,Hatsune Miku: Project Diva F 2nd,PS3,2014
449,8.8,84,LEGO Star Wars II: The Original Trilogy,PS2,2006
450,8.8,83,Fight Night Round 3,XBOX,2006
451,8.8,96,The Orange Box,X360,2007
452,8.8,84,Def Jam: Fight for NY,XBOX,2004
453,8.8,81,Mortal Kombat: Deception,XBOX,2004
454,8.8,80,Capcom vs. SNK 2 EO,XBOX,2003
455,8.8,77,Gun,PS2,2005
456,8.8,91,The Operative: No One Lives Forever,PC,2000
457,8.8,85,DDRMAX: Dance Dance Revolution,PS2,2002
458,8.8,78,Klonoa 2: Dream Champ Tournament,GBA,2005
459,8.8,85,Tony Hawk's Pro Skater 4,GBA,2002
460,8.8,85,World Series Baseball,XBOX,2002
461,8.8,58,Victoria: An Empire Under the Sun,PC,2003
462,8.8,94,Chrono Cross,PS,2000
463,8.8,80,Spider-Man 2,PS2,2004
464,8.8,86,Suikoden III,PS2,2002
465,8.8,73,Dead to Rights,PS2,2002
466,8.8,91,The Longest Journey,PC,2000
467,8.8,90,Marvel vs. Capcom 2,DC,2000
468,8.8,88,Dead Space,PS3,2008
469,8.8,80,Final Fantasy Crystal Chronicles,GC,2004
470,8.8,80,NFL Street,PS2,2004
471,8.8,89,Sacrifice,PC,2000
472,8.8,87,Animal Crossing,GC,2002
473,8.8,89,Homeworld: Cataclysm,PC,2000
474,8.8,85,Giants: Citizen Kabuto,PC,2000
475,8.8,89,WWF No Mercy,N64,2000
476,8.8,62,Hogs of War,PS,2000
477,8.8,88,Diablo II,PC,2000
478,8.8,87,Zeus: Master of Olympus,PC,2000
479,8.8,85,Final Fantasy IV,DS,2008
480,8.8,85,AudioSurf,PC,2008
481,8.8,93,Unreal Tournament 2004,PC,2004
482,8.8,93,World Soccer Winning Eleven 7 International,PS2,2004
483,8.8,77,Gun,GC,2005
484,8.8,77,Mortal Kombat: Deception,GC,2005
485,8.8,88,Rise of Nations: Thrones & Patriots,PC,2004
486,8.8,88,The World Ends with You,DS,2008
487,8.8,88,NCAA Football 2005,PS2,2004
488,8.8,80,NBA Live 2004,PC,2003
489,8.8,80,Wakeboarding Unleashed Featuring Shaun Murray,XBOX,2003
490,8.8,80,MX Unleashed,PS2,2004
491,8.8,73,Tribes Aerial Assault,PS2,2002
492,8.8,78,Castlevania: The Adventure ReBirth,WII,2009
493,8.8,77,Knights of Honor,PC,2005
494,8.8,88,Medieval: Total War,PC,2002
495,8.8,77,Nexus: The Jupiter Incident,PC,2005
496,8.8,90,The Sims 2,PC,2004
497,8.8,86,Patapon,PSP,2008
